REPOSITORY                                                                 TAG       IMAGE ID       CREATED         SIZE
<none>                                                                     <none>    79e6f5231ae5   11 hours ago    5.51GB
<none>                                                                     <none>    99e70d22d473   11 hours ago    5.56GB
maadsdocker/hysyssolutiondemo-3f10-ml-amd64                                latest    318b7eff9e67   2 weeks ago     2.57GB
maadsdocker/tml-fg-oil-gas-pipelines-arm64                                 latest    c8cc7a0bcc7c   6 weeks ago     6.71GB
maadsdocker/tml-privategpt-with-gpu-nvidia-amd64-deepseek-medium           latest    982af4a0d55b   8 weeks ago     37.5GB
maadsdocker/maads-batch-automl-otics-arm64                                 latest    6d420a651d56   2 months ago    5.87GB
maadsdocker/maads-batch-automl-otics2                                      latest    6a6ffc3cefc6   2 months ago    4.09GB
maadsdocker/maads-batch-automl-otics                                       latest    6a6ffc3cefc6   2 months ago    4.09GB
maadsdocker/maads-batch-automl-otics-update                                latest    9e87f7b09fcd   2 months ago    4.63GB
maadsdocker/tml-privategpt-with-gpu-nvidia-arm64-llama3-tools              latest    9651325b2ffe   3 months ago    8.66GB
maadsdocker/tml-privategpt-with-gpu-nvidia-amd64-llama3-tools2             latest    66214c1c5c1c   3 months ago    17.5GB
maadsdocker/tml-privategpt-with-gpu-nvidia-amd64-llama3-tools              latest    66214c1c5c1c   3 months ago    17.5GB
maadsdocker/tml-privategpt-with-gpu-nvidia-amd64-llama3-tools-working      latest    ec3e11d872ea   3 months ago    59.4GB
maadsdocker/myawesometmlsolutionml-mqtt-3f10-ml-amd64                      latest    da4871d00535   3 months ago    2.57GB
maadsdocker/myawesometmlsolutionml-mqtt-3f10-ml_mqtt-amd64                 latest    3ef7db25502c   3 months ago    2.57GB
maadsdocker/myawesometmlsolutionml-mqtt-3f10-amd64                         latest    39d3b050b346   3 months ago    2.57GB
maadsdocker/maads-batch-automl-otics-arm642                                latest    ac64c1f0b9c3   3 months ago    4.05GB
maadsdocker/maads-batch-automl-otics-arm64b                                latest    ac64c1f0b9c3   3 months ago    4.05GB
maadsdocker/maads-batch-automl-otics-arm64                                 <none>    ac64c1f0b9c3   3 months ago    4.05GB
maadsdocker/maads-batch-automl-oticsb                                      latest    c2d5109c3b29   3 months ago    4.09GB
maadsdocker/maads-batch-automl-otics                                       <none>    c2d5109c3b29   3 months ago    4.09GB
maadsdocker/cybersecurityrtms-elastalink-3f10-ai-amd64                     latest    c6a1903e381a   4 months ago    2.58GB
maadsdocker/tml-privategpt-with-gpu-nvidia-arm64-deepseek-medium-legacy    latest    77c565fc93e4   4 months ago    25.6GB
maadsdocker/tml-privategpt-with-gpu-nvidia-amd64-deepseek-medium-legacy    latest    600c100e422d   4 months ago    37.2GB
maadsdocker/tml-privategpt-with-gpu-nvidia-amd64-deepseek-medium-legacyb   latest    600c100e422d   4 months ago    37.2GB
maadsdocker/tml-privategpt-with-gpu-nvidia-arm64-deepseek-medium           latest    06f0ac9e7f6c   4 months ago    25.6GB
maadsdocker/tml-privategpt-with-gpu-nvidia-arm64-v3-large                  latest    29a851258747   4 months ago    27.6GB
maadsdocker/tml-privategpt-with-gpu-nvidia-arm64-v3                        latest    8de42d1fc758   4 months ago    24.3GB
maadsdocker/tml-privategpt-with-gpu-nvidia-arm64-v2                        latest    1adc1e7534a0   4 months ago    23.4GB
maadsdocker/tml-privategpt-with-gpu-nvidia-arm64b                          latest    f5fbd898012a   4 months ago    2.64GB
maadsdocker/tml-privategpt-with-gpu-nvidia-arm64                           latest    2fe922ed336f   4 months ago    23.4GB
maadsdocker/tml-privategpt-with-gpu-nvidia-amd64-deepseek-mediumb          latest    ea8ee7a2db8b   4 months ago    37.2GB
maadsdocker/tml-privategpt-with-gpu-nvidia-amd64-deepseek-medium           <none>    ea8ee7a2db8b   4 months ago    37.2GB
maadsdocker/tml-privategpt-with-gpu-nvidia-amd64-v3-largeb                 latest    0b11c78cfb8d   4 months ago    39.1GB
maadsdocker/tml-privategpt-with-gpu-nvidia-amd64-v3-large                  latest    0b11c78cfb8d   4 months ago    39.1GB
maadsdocker/tml-privategpt-with-gpu-nvidia-amd64-v3                        latest    1d571990073c   4 months ago    35.8GB
maadsdocker/tml-privategpt-with-gpu-nvidia-amd64-v3b                       latest    1d571990073c   4 months ago    35.8GB
maadsdocker/tml-privategpt-with-gpu-amd64                                  latest    da620da28edb   4 months ago    34.9GB
maadsdocker/tml-privategpt-with-gpu-nvidia-amd64                           latest    da620da28edb   4 months ago    34.9GB
maadsdocker/tml-privategpt-with-gpu-nvidia-amd64b                          latest    da620da28edb   4 months ago    34.9GB
maadsdocker/tml-privategpt-with-gpu-nvidia-amd64-v2                        latest    9fad41ec36ac   4 months ago    34.9GB
maadsdocker/cybersecurityrtms-3f10-amd64                                   latest    41349300f10e   5 months ago    3.11GB
maadsdocker/cybersecurityrtms-3f10-ai-amd64                                latest    9fe564a1ccf7   5 months ago    3.28GB
maadsdocker/tml-solution-studio-with-airflow-amd64                         latest    11d8d5306399   5 months ago    2.66GB
maadsdocker/myawesometmlsolution-3f10-amd64                                latest    a624dda90844   5 months ago    2.59GB
maadsdocker/cybersecurityrtms-3f10-ai_restapi-amd64                        latest    851d9695f8c1   6 months ago    2.57GB
tonistiigi/binfmt                                                          latest    69b92b14f1eb   6 months ago    80.9MB
qdrant/qdrant                                                              latest    e03660cc3ec5   7 months ago    189MB
gcr.io/k8s-minikube/kicbase                                                v0.0.45   aeed0e1d4642   12 months ago   1.28GB
maadsdocker/tml-fg-oil-gas-pipelines-amd64                                 latest    c6ae1928d38c   16 months ago   6.55GB
